TRansaction_Id,customer_Id,Date,Deb/Cre,amount,summary
3314624,11013,1-Nov-2016,DEBIT,600,DONE
122244,411,1-Nov-2016,DEBIT,18497,DONE
577276,1966,1-Nov-2016,DEBIT,20567,DONE
745024,2543,1-Nov-2016,DEBIT,6148,COMPLETED
2908690,9635,1-Nov-2016,DEBIT,4470,COMPLETED
707245,2423,1-Nov-2016,DEBIT,400,DONE
699222,2393,1-Nov-2016,DEBIT,10737,DONE
1081329,3693,1-Nov-2016,DEBIT,15447,DONE
226656,772,1-Nov-2016,DEBIT,24009,DONE
1548751,5270,1-Nov-2016,DEBIT,44749,COMPLETED
608137,2070,1-Nov-2016,DEBIT,12138,DONE
42520,142,2-Nov-2016,DEBIT,900,DONE
2190,9,2-Nov-2016,DEBIT,800,DONE
1002957,3424,3-Nov-2016,DEBIT,900,DONE
3123297,10364,3-Nov-2016,DEBIT,4200,DONE
160593,539,3-Nov-2016,DEBIT,700,DONE
1039105,3554,3-Nov-2016,DEBIT,1100,DONE
285072,979,3-Nov-2016,DEBIT,1000,DONE
796787,2714,3-Nov-2016,DEBIT,1300,DONE
1176616,4034,4-Nov-2016,DEBIT,8000,DONE
119791,401,4-Nov-2016,DEBIT,6000,DONE
1313154,4484,4-Nov-2016,DEBIT,29511,DONE
989731,3374,4-Nov-2016,DEBIT,200,DONE
1036263,3545,4-Nov-2016,DEBIT,900,DONE
893645,3047,4-Nov-2016,DEBIT,600,DONE
29107,96,5-Nov-2016,DEBIT,1100,DONE
1002960,3424,5-Nov-2016,DEBIT,44162,DONE
137463,461,5-Nov-2016,DEBIT,600,DONE
1657169,5622,5-Nov-2016,DEBIT,24023,DONE
1039191,3554,5-Nov-2016,DEBIT,900,DONE
887174,3026,5-Nov-2016,DEBIT,400,DONE
1050254,3593,5-Nov-2016,DEBIT,200,DONE
1122555,3834,5-Nov-2016,DEBIT,6600,DONE
39477,128,6-Nov-2016,DEBIT,300,DONE
1108941,3787,6-Nov-2016,DEBIT,800,DONE
1657174,5622,6-Nov-2016,DEBIT,33410,DONE
64021,212,6-Nov-2016,CREDIT,14800,COMPLETED
1080837,3691,6-Nov-2016,DEBIT,400,DONE
309324,1054,6-Nov-2016,DEBIT,800,DONE
